Altium Designer Pick and Place Locations
D:\Synology Drive\IRNAS-Projects\nRF-TestDevice\Electronics\nRF_Test_Device\04_OUTPUT_FILES\nRF-TestDevice_V1.0_PICK & PLACE\nRF-TestDevice_V1.0_PICK & PLACE.csv

========================================================================================================================
File Design Information:

Date:       04/01/21
Time:       09:14
Revision:   Not in VersionControl
Variant:    BASIC
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"R81","RES0402","29.4000","34.1000","29.4000","34.1000","29.9000","34.1000","TopLayer","180","100k"
"R80","RES0402","29.3000","29.0000","29.3000","29.0000","29.8000","29.0000","TopLayer","180","100k"
"P22","HDR_2x5-SMD-1.27mm-K","85.0092","119.5000","85.0092","119.5000","87.5492","121.4500","TopLayer","180","Pin Header 2x5, 1.27mm"
"P21","HDR_2x5-SMD-1.27mm-K","63.7092","119.5000","63.7092","119.5000","66.2492","121.4500","TopLayer","180","Pin Header 2x5, 1.27mm"
"P19","HDR_2x5-SMD-1.27mm-K","41.0092","119.5000","41.0092","119.5000","43.5492","121.4500","TopLayer","180","Pin Header 2x5, 1.27mm"
"P18","HDR_2x5-SMD-1.27mm-K","19.2000","119.5000","19.2000","119.5000","21.7400","121.4500","TopLayer","180","Pin Header 2x5, 1.27mm"
"U23","UQFN-8","62.5200","39.8400","62.5200","39.8400","62.0200","39.1650","TopLayer","90","TS5A21366RSER"
"U22","UQFN-8","65.9600","39.8400","65.9600","39.8400","65.4600","39.1650","TopLayer","90","TS5A21366RSER"
"U21","UQFN-8","67.9200","25.4000","67.9200","25.4000","68.5950","24.9000","TopLayer","180","TS5A21366RSER"
"U20","UQFN-8","65.9400","22.3000","65.9400","22.3000","66.6150","21.8000","TopLayer","180","TS5A21366RSER"
"J4","PIN1","3.0900","101.0700","3.0900","101.0700","3.0900","101.0700","TopLayer","180","Socket"
